# version: CHB v1 (standalone) | generated: 2026-06-17 | seed: 42 | input: PER-CELL NCX:RYR2 (within-sample cell dispersion for Fig 2B overlay; NOT donor-level error; RYR2>0 cells)
group,ncx_over_ryr2
fetal_SAN_work,0.8421
fetal_SAN_work,0.95
fetal_SAN_work,0.5556
fetal_SAN_work,2.4211
fetal_SAN_work,1.4348
fetal_SAN_work,0.7634
fetal_SAN_work,1.2424
fetal_SAN_work,0.918
fetal_SAN_work,0.7609
fetal_SAN_work,0.0
fetal_SAN_work,1.2558
fetal_SAN_work,0.7912
fetal_SAN_work,0.3437
fetal_SAN_work,1.8056
fetal_SAN_work,1.7857
fetal_SAN_work,1.1667
fetal_SAN_work,1.4407
fetal_SAN_work,1.7925
fetal_SAN_work,1.6129
fetal_SAN_work,0.4304
fetal_SAN_work,1.191
fetal_SAN_work,1.0294
fetal_SAN_work,0.7944
fetal_SAN_work,1.5918
fetal_SAN_work,1.0541
fetal_SAN_work,0.3936
fetal_SAN_work,0.4659
fetal_SAN_work,1.2619
fetal_SAN_work,1.5758
fetal_SAN_work,0.4839
fetal_SAN_work,1.3545
fetal_SAN_work,1.3879
fetal_SAN_work,1.6883
fetal_SAN_work,0.9429
fetal_SAN_work,0.0
fetal_SAN_work,0.75
fetal_SAN_work,1.6275
fetal_SAN_work,0.5
fetal_SAN_work,1.2727
fetal_SAN_work,1.5233
fetal_SAN_work,0.9388
fetal_SAN_work,2.4219
fetal_SAN_work,0.6
fetal_SAN_work,1.4333
fetal_SAN_work,1.0
fetal_SAN_work,2.4271
fetal_SAN_work,2.5231
fetal_SAN_work,1.0404
fetal_SAN_work,1.3679
fetal_SAN_work,0.9339
fetal_SAN_work,1.4051
fetal_SAN_work,1.4615
fetal_SAN_work,3.6981
fetal_SAN_work,1.7719
fetal_SAN_work,1.5934
fetal_SAN_work,3.5152
fetal_SAN_work,0.4699
fetal_SAN_work,2.2955
fetal_SAN_work,2.6364
fetal_SAN_work,3.2813
fetal_SAN_work,1.1905
fetal_SAN_work,1.8077
fetal_SAN_work,1.6667
fetal_SAN_work,0.807
fetal_SAN_work,2.4
fetal_SAN_work,1.2903
fetal_SAN_work,1.1321
fetal_SAN_work,1.4762
fetal_SAN_work,1.5484
fetal_SAN_work,1.6829
fetal_SAN_work,0.9697
fetal_SAN_work,1.28
fetal_SAN_work,0.3077
fetal_SAN_work,0.8
fetal_SAN_work,0.875
fetal_SAN_work,0.6
fetal_SAN_work,1.5882
fetal_SAN_work,1.8448
fetal_SAN_work,1.619
fetal_SAN_work,1.1538
fetal_SAN_work,0.3852
fetal_SAN_work,0.9063
fetal_SAN_work,2.5238
fetal_SAN_work,1.2941
fetal_SAN_work,0.5873
