# version: CHB v1 (standalone) | generated: 2026-06-17 | seed: 42 | input: node-resolved fetal-vs-adult channel + Ca-handling expression by SAN/AVN/vCM; linear TP10K, within-dataset
group,group_label,dataset,n_cells,gene,label,family,mean_tp10k,detect_frac
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,KCND3,Kv4.3 (Ito),K channel,5.0307,0.8061
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,KCNJ2,Kir2.1 (IK1),K channel,0.0341,0.0301
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,KCNJ3,Kir3.1 (IKACh),K channel,13.4238,0.9048
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,KCNJ5,Kir3.4 (IKACh),K channel,0.1457,0.1152
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,SCN5A,Nav1.5,Na channel,2.5427,0.7028
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,ATP1A1,Na/K-ATPase a1,Transporter,1.5494,0.5002
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,HCN4,HCN4 (If),HCN,0.3361,0.2226
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,HCN1,HCN1 (If),HCN,5.3209,0.6709
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,GJA5,Cx40 (GJA5),Identity,0.348,0.1766
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,GJC1,Cx45 (GJC1),Identity,0.5545,0.3235
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,TBX3,TBX3,Identity,0.1136,0.0888
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,SHOX2,SHOX2,Identity,0.0824,0.0642
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,ISL1,ISL1,Identity,0.0047,0.0019
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,CACNA1C,Cav1.2 (L),Ca channel,52.42,0.9806
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,CACNA1D,Cav1.3 (L),Ca channel,6.4564,0.5935
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,CACNA1G,Cav3.1 (T),Ca channel,0.2834,0.1806
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,CACNA1H,Cav3.2 (T),Ca channel,0.0,0.0
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,CACNA1I,Cav3.3 (T),Ca channel,0.0,0.0
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,SLC8A1,NCX1,Ca handling,47.9668,0.9677
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,ATP2A2,SERCA2a,Ca handling,12.9024,0.9419
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,RYR2,RyR2,Ca handling,106.6264,0.9806
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,PLN,PLN,Ca handling,5.3598,0.8258
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,CASQ2,CASQ2,Ca handling,5.0321,0.7032
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,ATP2B4,PMCA4,Ca handling,8.8955,0.929
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,CALM1,CaM1,Ca handling,0.6485,0.4065
