# version: CHB v1 (standalone) | generated: 2026-06-17 | seed: 42 | input: PER-CELL surface-accessible Ca fraction (within-sample cell dispersion for Fig 2A overlay; NOT donor-level error)
group,surface_frac
fetal_SAN_work,0.7464
fetal_SAN_work,0.4731
fetal_SAN_work,0.7524
fetal_SAN_work,0.7327
fetal_SAN_work,0.7917
fetal_SAN_work,0.6628
fetal_SAN_work,0.6
fetal_SAN_work,0.7156
fetal_SAN_work,0.5714
fetal_SAN_work,0.7391
fetal_SAN_work,0.6124
fetal_SAN_work,0.6126
fetal_SAN_work,0.6449
fetal_SAN_work,0.6886
fetal_SAN_work,0.6391
fetal_SAN_work,0.5885
fetal_SAN_work,0.6063
fetal_SAN_work,0.7056
fetal_SAN_work,0.5
fetal_SAN_work,0.4977
fetal_SAN_work,0.3333
fetal_SAN_work,0.6864
fetal_SAN_work,0.6576
fetal_SAN_work,0.5541
fetal_SAN_work,0.6758
fetal_SAN_work,0.346
fetal_SAN_work,0.6064
fetal_SAN_work,0.7716
fetal_SAN_work,0.7037
